"County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"00","Donald J. Trump","REP","President - Vice Pres","","","","453227","","249123","","115514","","25824","","132726","","976414",""
"00","Joe Biden","DEM","President - Vice Pres","","Y","","507955","","170767","","755187","","84454","","466660","","1985023",""
"00","Jo Jorgensen","LIB","President - Vice Pres","","","","9735","","8447","","5792","","1064","","8450","","33488",""
"00","Howie Gresham Hawkins","GRN","President - Vice Pres","","","","5624","","3769","","2583","","695","","3128","","15799",""
"00","Jerome M. Segal","BAR","President - Vice Pres","","","","2528","","1500","","715","","279","","862","","5884",""
"00","Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"00","Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","5","","0","","0","","0","","3","","8",""
"00","Barbara Bellar","OTH","President - Vice Pres","","","Y","9","","4","","4","","0","","6","","23",""
"00","President Boddie","OTH","President - Vice Pres","","","Y","2","","1","","0","","1","","0","","4",""
"00","Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"00","Brian Carroll","OTH","President - Vice Pres","","","Y","180","","122","","154","","19","","320","","795",""
"00","Todd Cella","OTH","President - Vice Pres","","","Y","1","","2","","4","","2","","2","","11",""
"00","Mark Charles","OTH","President - Vice Pres","","","Y","5","","4","","10","","1","","10","","30",""
"00","Phil Collins","OTH","President - Vice Pres","","","Y","3","","2","","1","","0","","4","","10",""
"00","Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","7","","8","","6","","1","","4","","26",""
"00","Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"00","Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"00","Tom Hoefling","OTH","President - Vice Pres","","","Y","4","","2","","4","","0","","1","","11",""
"00","Shawn Howard","OTH","President - Vice Pres","","","Y","8","","2","","6","","0","","4","","20",""
"00","Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","1","","1",""
"00","Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"00","Brock Pierce","OTH","President - Vice Pres","","","Y","6","","4","","1","","2","","3","","16",""
