SUBDIVISION,2013,2014,2015,2016,2017,2018,2019,2020
MARYLAND ......................................,858,"1,041","1,259","2,089","2,282","2,406","2,379","2,799"
NORTHWEST AREA ........................,86,96,131,214,183,211,189,234
GARRETT .....................................,6,2,5,1,8,3,9,8
ALLEGANY ....................................,15,12,22,59,38,39,28,52
WASHINGTON ..............................,28,40,64,66,59,91,88,110
FREDERICK ..................................,37,42,40,88,78,78,64,64
BALTIMORE METRO AREA ............,557,678,841,"1,402","1,549","1,731","1,652","1,860"
BALTIMORE CITY .........................,246,305,393,694,761,888,914,"1,028"
BALTIMORE COUNTY ..................,144,170,220,336,367,388,350,394
ANNE ARUNDEL ..........................,78,101,112,195,214,241,208,251
CARROLL ......................................,24,38,40,47,55,72,56,46
HOWARD ......................................,29,21,26,46,51,41,37,57
HARFORD .....................................,36,43,50,84,101,101,87,84
NATIONAL CAPITAL AREA .............,111,128,140,231,283,216,251,342
MONTGOMERY ............................,52,65,70,102,116,89,105,139
PRINCE GEORGE’S .....................,59,63,70,129,167,127,146,203
SOUTHERN AREA ...........................,25,47,59,88,103,86,95,111
CALVERT ......................................,6,17,20,28,32,28,31,25
CHARLES ......................................,9,21,22,45,37,27,31,53
ST MARY’S ...................................,10,9,17,15,34,31,33,33
EASTERN SHORE AREA ................,79,92,88,154,164,162,192,252
CECIL ............................................,26,29,32,30,59,59,62,92
KENT .............................................,4,6,3,6,5,2,10,6
QUEEN ANNE’S ............................,8,10,4,8,8,17,13,14
CAROLINE ....................................,2,7,3,10,11,7,12,17
TALBOT .........................................,7,4,5,10,11,10,14,17
DORCHESTER .............................,5,0,1,6,12,7,11,17
WICOMICO ...................................,17,20,18,48,35,36,41,47
SOMERSET ..................................,4,3,6,8,4,8,10,16
WORCESTER ...............................,6,13,16,28,19,16,19,26
